product,processing,configurable_cloud_path,offline,retention,account,platform,caveat,source_urls
"IraVoice","Speech recognition and supported formatting run on the Mac after model setup.","No cloud speech mode. Optional direct agent handoff sends the finished specification, not microphone audio.","Dictate works after the speech-model download; paid continuation works after one Gumroad key check.","IraVoice says its servers receive no audio, transcript, selected text, vocabulary, or repository context; the Mac app has no product telemetry or cloud transcript history.","No account or card for the full trial. Paid use relies on a Gumroad license key stored in Keychain.","macOS 26+ on Apple silicon.","IraVoice publishes this matrix. Verify its product claims against the linked privacy page and treat the dataset as documentation research, not an independent audit.","https://iravoice.com/privacy"
"Apple Dictation","On-device or on Apple servers depending on language and the indicator shown in Keyboard Settings.","The processing path is configuration-dependent rather than a separate third-party provider selector.","Available without a connection only for configurations Apple marks as on-device.","Apple says server-processed Dictation is not stored unless Improve Siri & Dictation is enabled; request and transcript metadata have separate documented handling.","Included with supported macOS. Apple documents device-generated identifiers and separate Apple Account-related service boundaries.","Built into supported macOS versions.","Do not assume every language or Mac configuration uses the same processing path. Check the current Keyboard Settings disclosure on the actual Mac.","https://support.apple.com/guide/mac-help/use-dictation-mh40584/mac | https://www.apple.com/legal/privacy/data/en/ask-siri-dictation/"
"Google AI Edge Eloquent","Google’s reviewed Mac launch sources describe the current native macOS feature set as on-device, including dictation, Voice Edit, and local audio or video file transcription.","The current Mac product page says Google AI Edge Eloquent can optionally access Google Workspace data such as Gmail to generate a vocabulary list of unique words.","Google’s June 3, 2026 launch announcement says the current native macOS feature set is fully offline.","The reviewed Mac sources establish on-device processing and offline use, but do not publish a separate desktop retention or telemetry statement for every Mac feature.","The reviewed Mac sources document a direct Mac download and optional Workspace or Gmail vocabulary access, but do not clearly state whether a Google account is otherwise required for the core desktop workflow.","Native macOS app; the current FAQ says English only.","The current product-page FAQ still contains older desktop-evaluation wording that conflicts with the dated launch announcement and direct Mac DMG. Use the launch post and current Mac download as platform truth, and do not transfer iOS-only cloud-feature wording to the Mac app.","https://developers.googleblog.com/bringing-gemma-4-12b-to-your-laptop-unlocking-local-agentic-workflows-with-google-ai-edge/ | https://developers.google.com/edge/eloquent"
"BetterDictation","Initial speech recognition uses local Whisper on a compatible Apple-silicon Mac.","Optional Pro sends the text transcript—but not audio—to OpenAI for cleanup and formatting.","Basic local transcription works offline. Pro cleanup requires a connection.","The privacy policy separates local audio processing from optional transcript transfer and also discloses performance and crash telemetry.","A paid license key is required; optional Pro is a separate recurring service.","Apple-silicon Mac; current help asks for macOS Sonoma 14.4 or later.","The local claim covers initial transcription. Enabling Pro changes the transcript path even though microphone audio remains local.","https://betterdictation.com/ | https://betterdictation.com/pro | https://betterdictation.com/privacy"
"Spokenly","Local Whisper or Parakeet, user-key providers, or managed hosted models depending on the active mode.","Yes. Model, AI Instructions, provider, optional context, and output actions can change the data path.","Local models work offline. Local Only Mode blocks outbound access while permitting local and localhost models.","Retention depends on local, managed, or bring-your-own provider paths; Spokenly also documents history and optional audio replay.","Local and BYOK paths are available without a paid Pro plan; managed services and sync features can introduce account boundaries.","macOS, Windows, Linux, and iOS, with features varying by platform.","“Spokenly” is not one fixed architecture. Record the active mode, provider, context sources, history setting, and output action.","https://spokenly.app/docs | https://spokenly.app/docs/modes | https://spokenly.app/privacy | https://spokenly.app/docs/local-only-mode"
"Raycast Dictation","Raycast says recorded audio is sent to its speech-to-text partner for transcription.","Dictation is a connected Raycast AI feature; optional App Context and later AI actions can add separate data.","No documented offline speech-to-text path for Raycast Dictation.","Raycast says it does not retain recorded audio after the transcription request; Dictation history is stored locally on the Mac.","Raycast AI plan and account controls apply to the connected feature.","Raycast for macOS on supported Macs.","No post-request audio retention does not mean on-device transcription. Local history and any later AI action are separate boundaries.","https://manual.raycast.com/ai/dictation | https://manual.raycast.com/ai/raycast-ai-privacy-security"
"Wispr Flow","Wispr says transcription always happens in the cloud.","The speech path is cloud-based. Privacy Mode and Private Cloud Sync settings change retention, not the location of transcription.","No documented offline transcription path.","Wispr says Privacy Mode with Private Cloud Sync disabled provides zero retention; other settings can retain data for history or sync.","A connected product account and plan participate in the service.","Current desktop and mobile platforms supported by Wispr Flow.","Zero retention is a storage policy for the cloud path, not a claim that microphone audio never leaves the device.","https://wisprflow.ai/privacy"
"Superwhisper","Superwhisper documents offline, on-device transcription for its local speech path.","Optional cloud models and browser or assistant tools are separate connected paths.","The documented local transcription path works offline after required model setup.","For offline transcription, Superwhisper says audio is not uploaded. Connected features follow their selected service boundaries.","App licensing applies; optional connected providers or tools can introduce separate credentials and terms.","Mac, Windows, and iPhone support is currently advertised.","The offline claim belongs to local transcription. Do not transfer it to an optional cloud model, browser tool, or assistant feature.","https://superwhisper.com/offline-transcription | https://superwhisper.com/"
"MacWhisper","MacWhisper documents local transcription by default, including a local dictation path.","Optional cloud transcription, assistant, and third-party AI provider features can change the path.","Supported local models and dictation can work offline after model setup.","Local workflows keep transcription on the Mac; retention for optional providers depends on the chosen external service.","Free and paid app tiers exist; optional provider features can require separate keys or accounts.","macOS, with model performance depending on Mac hardware.","MacWhisper includes broader file, meeting, assistant, and provider workflows. The active model and feature determine the actual boundary.","https://www.macwhisper.com/ | https://www.macwhisper.com/dictation"
"VoiceInk","Local models are the default; users can configure cloud transcription and enhancement providers.","Yes. The active mode can select cloud transcription, enhancement, context, auto-send, or a custom command.","Local model workflows can work offline; configured cloud providers require a connection.","Local defaults keep speech processing on the Mac. Optional provider retention follows the provider selected by the user.","GPLv3 source can be self-built; the compiled app uses a commercial license, and optional providers use user credentials.","macOS 14.4 or later.","The active model, provider, context source, mode, and output command determine the boundary; an open-source codebase does not make every configuration local.","https://tryvoiceink.com/docs/introduction | https://tryvoiceink.com/terms | https://tryvoiceink.com/docs/mode-settings"
"Voice Type","Core dictation, custom vocabulary, formatting, and file transcription run on the Mac.","Optional rewrite providers require a connection and send selected text to the provider the user chooses.","Core dictation works offline after required app and model setup; optional rewrites do not.","The App Store listing describes on-device core processing. Apple may receive purchase and receipt-verification traffic.","Distributed through the Mac App Store, so Apple purchase and receipt boundaries apply.","macOS 13.4 or later.","The on-device claim covers core dictation. Enabling a rewrite provider changes the selected-text path, and App Store licensing still creates an Apple network boundary.","https://apps.apple.com/us/app/voice-type-offline-dictation/id6736525125?mt=12"
